[9£¬288]:1.300537149864107,[9£¬100]:1.2726017590646297,[9£¬9]:1.2707989642351862,[9£¬127]:1.2479224507582283,[9£¬289]:1.0844452999723273,[9£¬181]:1.0411776545898068,[9£¬523]:0.8738162065680253,[9£¬531]:0.8569291248986447,[9£¬14]:0.8479316639234142,[9£¬222]:0.841972886367408,
[619£¬172]:4.644607449861151,[619£¬181]:4.162288754251502,[619£¬161]:4.077589546501865,[619£¬265]:4.077589546501865,[619£¬226]:3.741039940193123,[619£¬210]:3.7224983065834314,[619£¬38]:3.70295633958208,[619£¬4]:3.5952708508922173,[619£¬2]:3.2688510304534732,[619£¬183]:3.254638920327674,
[498£¬89]:3.524586288044042,[498£¬173]:3.146746840497264,[498£¬582]:3.146746840497264,[498£¬4]:3.1454701222535126,[498£¬22]:3.143417018103474,[498£¬117]:2.7623468403858733,[498£¬642]:2.761022992190938,[498£¬99]:2.760293736235835,[498£¬216]:2.760293736235835,[498£¬196]:2.754721574538005,
[269£¬56]:4.713173583164704,[269£¬71]:4.246757610400989,[269£¬191]:4.241869463441111,[269£¬692]:4.241869463441111,[269£¬485]:4.239997948764062,[269£¬559]:4.239997948764062,[269£¬164]:4.235753197737508,[269£¬25]:4.224485089239062,[269£¬506]:3.7822065254334127,[269£¬480]:3.7819582915246808,
[319£¬300]:3.3072772150535505,[319£¬887]:2.927648913870902,[319£¬286]:2.917370781371023,[319£¬258]:2.834218142694195,[319£¬268]:2.548112856232607,[319£¬315]:2.488947476540948,[319£¬294]:2.4829204702145575,[319£¬305]:2.439791120940989,[319£¬748]:2.395063109867355,[319£¬270]:2.1135706550207995,
[818£¬294]:3.2671049959338028,[818£¬748]:3.2166190664087297,[818£¬272]:2.79718530112584,[818£¬327]:2.681950679049915,[818£¬313]:2.3607495206538553,[818£¬750]:2.351749897938466,[818£¬340]:2.3304964364191205,[818£¬315]:2.316060076801152,[818£¬331]:2.2663050332630092,[818£¬289]:1.8852069367657123,
[149£¬750]:3.6755317772355314,[149£¬315]:3.1435167647556796,[149£¬316]:3.1405314038281746,[149£¬347]:2.648165439910844,[149£¬294]:2.606225045349046,[149£¬270]:2.5887845116253274,[149£¬268]:2.531222108956733,[149£¬322]:2.1613068229301553,[149£¬344]:2.150654711624746,[149£¬754]:2.070047140684666,
[370£¬50]:3.2547785154886575,[370£¬89]:2.6274003137589177,[370£¬197]:2.622582474426015,[370£¬185]:2.6029798297425746,[370£¬357]:2.5921301446800262,[370£¬7]:2.5729670741500708,[370£¬498]:2.5729670741500708,[370£¬69]:2.2896400490223185,[370£¬496]:2.2848222096894157,[370£¬519]:2.2848222096894157,
[190£¬1]:2.8331293782436453,[190£¬323]:2.832596311565303,[190£¬322]:2.4468962083248296,[190£¬307]:2.013451429717385,[190£¬329]:2.0127489803065592,[190£¬298]:1.931064669001067,[190£¬25]:1.9216043096175577,[190£¬472]:1.9069051322860826,[190£¬871]:1.8962813175534357,[190£¬181]:1.8863011062420414,
[383£¬482]:3.2629632238809965,[383£¬98]:2.949111828817224,[383£¬187]:2.610871116215951,[383£¬186]:2.6060252328004436,[383£¬194]:2.6025213950153105,[383£¬529]:2.584109902657344,[383£¬174]:2.584109902657344,[383£¬276]:2.310193227960477,[383£¬479]:2.3083282612593234,[383£¬511]:2.304265944210394,
[894£¬288]:3.9711113041030766,[894£¬301]:3.9711113041030766,[894£¬286]:3.559210759830875,[894£¬475]:3.2130581459615133,[894£¬333]:3.20235075353783,[894£¬246]:3.1749677639275737,[894£¬181]:3.1691822466596102,[894£¬150]:2.802362924639002,[894£¬325]:2.734648788074068,[894£¬294]:2.438403357548631,
[420£¬276]:2.001802371345414,[420£¬9]:1.9864545498984796,[420£¬313]:1.6684690380120806,[420£¬269]:1.3668972991200363,[420£¬268]:1.2728318306969308,[420£¬303]:1.2538812542569804,[420£¬7]:1.0731377452990005,[420£¬325]:1.0664837158539497,[420£¬813]:1.0547416402684386,[420£¬340]:1.0524571117060284,
[720£¬305]:3.4005538514577536,[720£¬340]:3.3964446137110196,[720£¬286]:3.3727878912314266,[720£¬269]:3.32003916409554,[720£¬344]:3.2923990560973446,[720£¬303]:2.9804119157823443,[720£¬300]:2.492109616600677,[720£¬258]:2.448807893490296,[720£¬354]:2.4359869739665454,[720£¬301]:2.3677387547701816,
[526£¬286]:3.6674927061466827,[526£¬321]:2.7910427739170967,[526£¬237]:2.688388529078636,[526£¬327]:2.356921202854867,[526£¬9]:2.3037252460482085,[526£¬126]:2.254266958016406,[526£¬124]:2.2505910111931793,[526£¬326]:2.1325413256311294,[526£¬340]:1.9503496727417038,[526£¬289]:1.8789110171028114,
[107£¬307]:3.269195918286961,[107£¬288]:3.2664125368693555,[107£¬286]:2.7587776018434287,[107£¬678]:2.3376299006050987,[107£¬272]:2.3249785100181612,[107£¬751]:2.285206600433328,[107£¬332]:2.2626713748218483,[107£¬294]:1.9130477866167437,[107£¬245]:1.895691486360653,[107£¬346]:1.880467536189749,
[328£¬228]:4.836133287888781,[328£¬28]:4.390605947096934,[328£¬174]:4.3688533465239985,[328£¬4]:4.368099588249176,[328£¬215]:4.366137463282767,[328£¬229]:4.366137463282767,[328£¬199]:4.356160460965797,[328£¬732]:4.135296209721253,[328£¬202]:4.135296209721253,[328£¬393]:4.135296209721253,
[827£¬310]:3.7479528402821147,[827£¬315]:3.230403670775349,[827£¬328]:2.7016298420904326,[827£¬347]:2.6646512889193312,[827£¬323]:2.6275016250098426,[827£¬327]:2.598428166340412,[827£¬307]:2.129201618822926,[827£¬270]:2.1268983070775462,[827£¬751]:2.089983596355305,[827£¬754]:2.0664761356472083,
[889£¬176]:4.822826029304221,[889£¬582]:4.35111178553212,[889£¬655]:4.344027121742246,[889£¬228]:4.342809843932304,[889£¬230]:4.342809843932304,[889£¬265]:4.335743911440542,[889£¬288]:4.325452236783995,[889£¬233]:3.884222468589413,[889£¬559]:3.884222468589413,[889£¬393]:3.8771378047995397,
[828£¬212]:2.3370591085215393,[828£¬515]:2.3161443363292986,[828£¬529]:2.082964431481543,[828£¬1009]:2.0599880391563565,[828£¬165]:2.0379501309946764,[828£¬20]:1.7576702512877664,[828£¬166]:1.7376555104102769,[828£¬919]:1.7049533493612845,[828£¬100]:1.6150209120607033,[828£¬285]:1.6150209120607033,
[802£¬56]:3.298687870520806,[802£¬234]:3.292515234199222,[802£¬164]:3.261150188285993,[802£¬100]:2.9399157862959515,[802£¬5]:2.9007571925292046,[802£¬637]:2.8931448183124546,[802£¬447]:2.8072949941212504,[802£¬17]:2.544732601569309,[802£¬561]:2.522600841404764,[802£¬145]:2.511746644124145,
[293£¬692]:5.27906186618338,[293£¬631]:5.27906186618338,[293£¬318]:4.762604011574369,[293£¬470]:4.762604011574369,[293£¬118]:4.758830652310547,[293£¬168]:4.758830652310547,[293£¬431]:4.756407306124904,[293£¬98]:4.746116407816217,[293£¬153]:4.746116407816217,[293£¬357]:4.729443928831909,
[208£¬211]:1.9839634527606447,[208£¬70]:1.98180514059549,[208£¬655]:1.8900514714865493,[208£¬194]:1.8687593032293959,[208£¬210]:1.713008142676036,[208£¬100]:1.7007665225987294,[208£¬173]:1.6838148864379177,[208£¬50]:1.6838148864379177,[208£¬692]:1.6816752174792615,[208£¬168]:1.6465633788026763,
[392£¬100]:2.323550710896153,[392£¬483]:2.32033269201201,[392£¬13]:2.307187555358642,[392£¬117]:2.3069954090734717,[392£¬12]:2.019567184887879,[392£¬124]:1.9842836845531853,[392£¬301]:1.6763724021873163,[392£¬237]:1.6711736328990132,[392£¬185]:1.6692990590077617,[392£¬79]:1.6679556140148701,
[808£¬258]:2.9969371464733023,[808£¬326]:2.5155714066523682,[808£¬328]:2.4962906753801093,[808£¬272]:2.4353167035903325,[808£¬269]:2.4100959205274988,[808£¬292]:2.0280995834627977,[808£¬323]:2.002878800399964,[808£¬268]:1.9419048286101872,[808£¬307]:1.9245627851350833,[808£¬689]:1.5627853697323704,
[704£¬133]:3.204082853826105,[704£¬705]:3.191246903940415,[704£¬135]:3.172794048490628,[704£¬526]:2.859098673743826,[704£¬357]:2.858452665224578,[704£¬199]:2.8583424543338567,[704£¬483]:2.8482854953485224,[704£¬659]:2.845616715338888,[704£¬174]:2.8396237206299197,[704£¬132]:2.8396237206299197,
[397£¬173]:3.065936492663406,[397£¬187]:2.7852400311700976,[397£¬79]:2.7381740280566564,[397£¬89]:2.7381740280566564,[397£¬64]:2.732616955840701,[397£¬204]:2.7226381458337077,[397£¬191]:2.7060614053997742,[397£¬185]:2.4082348524606125,[397£¬234]:2.40253646143392,[397£¬98]:2.3136430403260473,
[116£¬258]:3.621730018652869,[116£¬268]:3.246412229078321,[116£¬316]:3.227324699779561,[116£¬321]:2.861954333759439,[116£¬245]:2.827599070255726,[116£¬327]:2.74813563896807,[116£¬751]:2.735670481811643,[116£¬339]:2.383361603182768,[116£¬689]:2.373856463769211,[116£¬754]:2.366353702107021,
[466£¬233]:4.268146736785648,[466£¬50]:4.268146736785648,[466£¬241]:3.0034802711566733,[466£¬578]:2.9977608935914395,[466£¬720]:2.9977608935914395,[466£¬385]:2.982626794361967,[466£¬55]:2.6346982758787822,[466£¬230]:2.6184849093397773,[466£¬228]:2.609240119545812,[466£¬229]:2.609240119545812,
[401£¬496]:4.026423030160421,[401£¬498]:4.026423030160421,[401£¬79]:4.026423030160421,[401£¬480]:4.026423030160421,[401£¬56]:4.026423030160421,[401£¬132]:4.026423030160421,[401£¬134]:4.026423030160421,[401£¬238]:3.6405371892162166,[401£¬474]:3.6375161857857368,[401£¬514]:3.636649033556462,
[303£¬68]:5.35384983874492,[303£¬25]:5.35384983874492,[303£¬56]:5.35384983874492,[303£¬210]:5.35384983874492,[303£¬732]:5.35384983874492,[303£¬62]:4.8444300521210275,[303£¬265]:4.8315600133190335,[303£¬135]:4.8315600133190335,[303£¬780]:4.831195278686446,[303£¬423]:4.822116209512099,
[651£¬286]:2.80757180978307,[651£¬258]:2.4826468530527417,[651£¬300]:2.123990571527777,[651£¬323]:1.918592455967549,[651£¬327]:1.8629079830218314,[651£¬303]:1.712873360481817,[651£¬321]:1.7062878055836033,[651£¬340]:1.6000506754371635,[651£¬288]:1.5842417261187078,[651£¬879]:1.57231266758306,
[474£¬216]:5.331163382286008,[474£¬204]:5.331163382286008,[474£¬194]:5.331163382286008,[474£¬435]:5.331163382286008,[474£¬133]:4.806911681046611,[474£¬202]:4.805969934735587,[474£¬191]:4.805435582880704,[474£¬604]:4.805435582880704,[474£¬127]:4.803120198322036,[474£¬423]:4.796234743448406,
[378£¬82]:5.116023469585178,[378£¬258]:5.116023469585178,[378£¬121]:5.116023469585178,[378£¬69]:5.116023469585178,[378£¬157]:4.630395312912371,[378£¬628]:4.603673766473508,[378£¬237]:4.603673766473508,[378£¬38]:4.142056077202535,[378£¬132]:4.132157809384291,[378£¬98]:4.129446730347262,
[851£¬117]:3.6101416271576676,[851£¬7]:3.6101416271576676,[851£¬276]:3.2553069786008315,[851£¬237]:3.2479680991521596,[851£¬1]:3.247900673830067,[851£¬546]:3.247900673830067,[851£¬100]:3.2462173091492623,[851£¬282]:2.9094822991578724,[851£¬410]:2.9072367927451674,[851£¬245]:2.9064241247449987,
[489£¬690]:5.087391690329976,[489£¬748]:4.046030326710942,[489£¬333]:3.989475336562757,[489£¬877]:3.958005903409835,[489£¬990]:2.7601494209032666,[489£¬344]:2.6624765351919892,[489£¬937]:2.385954832588329,[489£¬938]:2.385954832588329,[489£¬691]:2.3244529470874697,[489£¬338]:2.3088541129809754,
[809£¬288]:3.6896139561447576,[809£¬294]:3.6013411894667358,[809£¬316]:2.6670896806667117,[809£¬327]:2.647392580239176,[809£¬323]:2.6372396801489413,[809£¬326]:2.6014101093411037,[809£¬332]:2.5956209699361867,[809£¬269]:2.5171498979587406,[809£¬879]:2.2007587003927482,[809£¬346]:2.1466286940036756,
[480£¬127]:2.8677077188461806,[480£¬180]:2.5566753962122317,[480£¬134]:2.5566753962122317,[480£¬181]:2.5524445163154708,[480£¬23]:2.551637948225674,[480£¬357]:2.5210200962054126,[480£¬132]:2.515266771001993,[480£¬187]:2.2212441995285994,[480£¬482]:2.2088167301360073,[480£¬195]:2.208816622221676,
[587£¬327]:4.410575820864926,[587£¬299]:3.894768118494141,[587£¬332]:3.398101746992167,[587£¬678]:3.3501629624577647,[587£¬346]:3.3374946494121183,[587£¬326]:2.8750359660262252,[587£¬873]:2.843117440510245,[587£¬306]:2.650909379681129,[587£¬872]:2.329516544535451,[587£¬324]:2.3202001861063457,
[389£¬95]:4.179472200974482,[389£¬162]:4.177551517714335,[389£¬73]:4.175273985202461,[389£¬56]:4.175273985202461,[389£¬186]:4.174024111271035,[389£¬504]:4.174024111271035,[389£¬135]:4.170150184710397,[389£¬663]:4.170150184710397,[389£¬195]:4.170150184710397,[389£¬132]:4.155645420636082,
[15£¬117]:4.0220153295174415,[15£¬293]:3.562067851432163,[15£¬100]:3.5529302899146185,[15£¬50]:3.551400817565961,[15£¬866]:3.148040648644968,[15£¬515]:3.113003869933668,[15£¬284]:3.104735293957604,[15£¬288]:3.104735293957604,[15£¬126]:3.102699272680998,[15£¬148]:2.7380132895957914,
[102£¬56]:4.5688615711951055,[102£¬168]:4.120277850387962,[102£¬50]:4.120277850387962,[102£¬100]:3.6515904459993593,[102£¬232]:3.6488653568069536,[102£¬216]:3.220410478444256,[102£¬451]:3.220077112138082,[102£¬441]:3.220077112138082,[102£¬42]:3.218824702329667,[102£¬111]:3.218824702329667,
[88£¬258]:2.854957739607622,[88£¬269]:2.8399821612941794,[88£¬340]:2.831268757113305,[88£¬303]:2.775228992586627,[88£¬272]:2.4228274772099607,[88£¬328]:2.110763143247008,[88£¬323]:2.0947532243635534,[88£¬305]:1.7857592927286117,[88£¬751]:1.7827881438347297,[88£¬333]:1.7518992514402072,
[564£¬405]:2.1778933271121055,[564£¬252]:2.1738247660646812,[564£¬1]:2.1492752862577245,[564£¬255]:2.1452067252103,[564£¬118]:1.8428102004787492,[564£¬315]:1.8319296170685853,[564£¬127]:1.7943835174874887,[564£¬748]:1.7906209042719317,[564£¬269]:1.7872813386605078,[564£¬690]:1.7872813386605078,
[555£¬237]:2.5683701598277446,[555£¬50]:2.551130243816768,[555£¬475]:2.2908947356470915,[555£¬15]:2.2729900554964595,[555£¬300]:2.268179677696467,[555£¬294]:2.268179677696467,[555£¬1]:2.2565386912876386,[555£¬257]:2.2305156014061134,[555£¬742]:2.209079483744085,[555£¬286]:1.9815999485812206,
[422£¬218]:2.047248530172087,[422£¬56]:2.036436227254927,[422£¬413]:1.6599316921658693,[422£¬201]:1.6361943765117943,[422£¬145]:1.6253820735946345,[422£¬164]:1.6253820735946345,[422£¬569]:1.5872402249795345,[422£¬150]:1.4438188614519487,[422£¬565]:1.2585084945870841,[422£¬876]:1.2573271477514314,
[551£¬8]:5.199396058004689,[551£¬173]:5.199396058004689,[551£¬239]:4.7000361984241765,[551£¬53]:4.7000361984241765,[551£¬576]:4.694038528858398,[551£¬29]:4.694038528858398,[551£¬181]:4.682003930132254,[551£¬549]:4.677753117405269,[551£¬179]:4.661893120316921,[551£¬820]:4.661893120316921,
[782£¬294]:3.559655581490887,[782£¬355]:3.089212478451363,[782£¬327]:2.993172235415507,[782£¬895]:2.7340905252349192,[782£¬334]:2.668750271337467,[782£¬303]:2.290452117017059,[782£¬262]:2.185768891102471,[782£¬305]:2.134672480373314,[782£¬988]:1.8802854171234835,[782£¬680]:1.8802854171234835,
[94£¬100]:5.2530613712061465,[94£¬73]:5.2530613712061465,[94£¬186]:5.2530613712061465,[94£¬79]:5.2530613712061465,[94£¬164]:5.2530613712061465,[94£¬367]:5.2530613712061465,[94£¬230]:5.2530613712061465,[94£¬451]:4.736172521696067,[94£¬252]:4.736172521696067,[94£¬183]:4.724317006879114,
[860£¬340]:2.473664033619182,[860£¬887]:2.1826244219293924,[860£¬258]:2.1722054370865336,[860£¬328]:2.153858522346401,[860£¬331]:1.8357682574419318,[860£¬750]:1.824077602733677,[860£¬346]:1.7793894402567938,[860£¬751]:1.7651447770944404,[860£¬345]:1.4591726670722678,[860£¬754]:1.4478932742757578,
[343£¬196]:4.5075786192596485,[343£¬173]:4.5075786192596485,[343£¬183]:4.5075786192596485,[343£¬216]:4.5075786192596485,[343£¬98]:4.5075786192596485,[343£¬433]:4.5075786192596485,[343£¬209]:4.066670465558676,[343£¬228]:4.06643859639388,[343£¬204]:4.06643859639388,[343£¬70]:4.059009925710523,
[146£¬258]:3.8412949859012233,[146£¬333]:3.8329931641367554,[146£¬310]:2.8703347351098847,[146£¬750]:2.397579764916273,[146£¬288]:2.3911526426956,[146£¬321]:2.390504789905331,[146£¬303]:2.37145301847982,[146£¬690]:1.924147688442274,[146£¬319]:1.9152725979151553,[146£¬344]:1.9133977387812313,
[688£¬300]:3.0372284458351926,[688£¬310]:2.7490922521415353,[688£¬751]:2.7420983910917878,[688£¬258]:2.7393202711022915,[688£¬322]:2.7260404887031218,[688£¬301]:2.686903920962507,[688£¬328]:2.421138452920473,[688£¬313]:2.4035967908986224,[688£¬332]:2.377885176791726,[688£¬286]:2.3354625051513964,
[770£¬237]:3.4436292581884205,[770£¬276]:3.0414230825487847,[770£¬121]:3.0288354432349425,[770£¬328]:2.9919421373431825,[770£¬117]:2.9659394772611485,[770£¬405]:2.618564047264128,[770£¬286]:2.584463401362753,[770£¬293]:2.5640153037479183,[770£¬125]:2.481466082859594,[770£¬3]:2.2135652116341067,
[241£¬333]:4.133785743659295,[241£¬328]:2.7740003881624253,[241£¬271]:2.709392894533107,[241£¬258]:2.380176533319072,[241£¬748]:2.348118665905846,[241£¬340]:2.33143257323229,[241£¬312]:1.9245599411043353,[241£¬338]:1.8910740036807108,[241£¬358]:1.8573300106204402,[241£¬323]:1.8316953957778725,
[346£¬144]:4.337752236144286,[346£¬69]:4.337752236144286,[346£¬202]:3.919728242383828,[346£¬135]:3.919728242383828,[346£¬258]:3.919728242383828,[346£¬393]:3.919728242383828,[346£¬188]:3.919728242383828,[346£¬380]:3.919728242383828,[346£¬226]:3.919728242383828,[346£¬28]:3.9191728416596563,
[507£¬286]:2.9433734476685283,[507£¬272]:2.558599829304464,[507£¬307]:2.5259630089929486,[507£¬258]:2.5047322221482964,[507£¬322]:2.1505494983053484,[507£¬332]:2.1102037487238854,[507£¬346]:2.0673420222337286,[507£¬301]:1.754887296596934,[507£¬347]:1.7095163780845295,[507£¬259]:1.700257952848924,
[216£¬186]:4.023013023640184,[216£¬568]:3.6383414333567194,[216£¬96]:3.632633637989056,[216£¬258]:3.6221415473495493,[216£¬50]:3.6221415473495493,[216£¬117]:3.620678697862483,[216£¬12]:3.5933963111879796,[216£¬195]:3.2365926623495094,[216£¬132]:3.234642886699317,[216£¬164]:3.1925248348973456,
[717£¬181]:3.7000686518680905,[717£¬276]:3.317121313335528,[717£¬508]:3.2880800696427355,[717£¬258]:3.272171429430206,[717£¬823]:3.2554349709613897,[717£¬257]:3.2180055607189773,[717£¬591]:3.1948938625317522,[717£¬313]:2.8428855087049896,[717£¬1016]:2.8271423698294167,[717£¬273]:2.8233855910675323,
[514£¬238]:4.53542410753826,[514£¬79]:4.53542410753826,[514£¬204]:4.53542410753826,[514£¬117]:4.087322193861678,[514£¬186]:4.087229010569717,[514£¬56]:4.086134218363893,[514£¬127]:3.6377011557320102,[514£¬230]:3.605691288924225,[514£¬161]:3.1958003670875383,[514£¬603]:3.1934195319677894,
[197£¬403]:4.289197952607393,[197£¬183]:3.9511274583646916,[197£¬566]:3.869277325186765,[197£¬144]:3.7230594355350948,[197£¬546]:3.246227786991679,[197£¬1]:2.819278937766553,[197£¬273]:2.814231168534492,[197£¬405]:2.813881771717944,[197£¬7]:2.746814559290003,[197£¬121]:2.737428804588627,
[634£¬121]:4.146424789803947,[634£¬300]:4.142239858533956,[634£¬591]:3.7272393906440797,[634£¬291]:3.7133914148438434,[634£¬1]:3.6862684773361325,[634£¬276]:3.6780978867344056,[634£¬475]:3.6568556539218195,[634£¬328]:3.23553093379111,[634£¬151]:3.1944094555474023,[634£¬1028]:2.8281586266607235,
[838£¬79]:3.3262025353109963,[838£¬216]:3.302311491414793,[838£¬168]:2.9508439797373893,[838£¬98]:2.9056844775977795,[838£¬294]:2.6028542388016107,[838£¬28]:2.602847065244549,[838£¬172]:2.5957231973219117,[838£¬117]:2.5811315581702403,[838£¬588]:2.5811315581702403,[838£¬546]:2.5791868153129784,
[775£¬321]:3.1645372454147003,[775£¬268]:2.72047305069184,[775£¬340]:2.6765744794721362,[775£¬316]:2.6754277674322795,[775£¬346]:2.544785176674763,[775£¬303]:2.541823427990711,[775£¬751]:2.5323400278594104,[775£¬288]:2.193931915558486,[775£¬327]:2.1601551125395333,[775£¬754]:2.1589301205536717,
[664£¬64]:4.496851418813419,[664£¬474]:4.496851418813419,[664£¬204]:4.496851418813419,[664£¬216]:4.059538476482018,[664£¬195]:4.057942894584631,[664£¬143]:4.05364878859946,[664£¬423]:4.05364878859946,[664£¬135]:4.03691831330952,[664£¬97]:4.004338423383205,[664£¬202]:3.6163358462680595,
[222£¬204]:4.95677194347833,[222£¬96]:4.946539699351678,[222£¬55]:4.932076027820455,[222£¬403]:4.415817233121788,[222£¬179]:4.413857640054846,[222£¬720]:4.405860389367428,[222£¬291]:4.405584988995137,[222£¬273]:4.40402980504622,[222£¬228]:4.396532683199629,[222£¬168]:4.3945730901326865,
[54£¬300]:3.8148894747769027,[54£¬282]:3.353091259894278,[54£¬111]:3.30960471373723,[54£¬1047]:3.303008828444386,[54£¬222]:2.8919029373702436,[54£¬508]:2.8877330191126234,[54£¬269]:2.8734939553035983,[54£¬410]:2.8440258443846695,[54£¬678]:2.8434572319603184,[54£¬293]:2.8434572319603184,
[140£¬269]:3.70116025587596,[140£¬300]:2.854528676533829,[140£¬292]:2.48979548896798,[140£¬332]:2.3537552808666375,[140£¬323]:1.9751282955999545,[140£¬748]:1.9705522309813661,[140£¬326]:1.9211648245179374,[140£¬340]:1.890479181823129,[140£¬327]:1.8901535112874892,[140£¬690]:1.8900740402516427,
[535£¬143]:4.794498284933794,[535£¬663]:4.794498284933794,[535£¬234]:4.794498284933794,[535£¬89]:4.341587471275956,[535£¬199]:4.341587471275956,[535£¬478]:4.341587471275956,[535£¬237]:4.33849438095976,[535£¬523]:4.33849438095976,[535£¬705]:4.3351899728377274,[535£¬175]:4.3351899728377274,
[192£¬1]:2.781707002784099,[192£¬405]:2.443039997450258,[192£¬222]:2.2003408480574183,[192£¬13]:1.8495523843330852,[192£¬268]:1.8202761415940079,[192£¬286]:1.7909660385628734,[192£¬151]:1.7845089588014402,[192£¬288]:1.7845089588014402,[192£¬50]:1.7650164725792314,[192£¬14]:1.7420355010730255,
[905£¬276]:2.873709238242893,[905£¬9]:2.4844880939331646,[905£¬269]:2.411416268393974,[905£¬121]:2.0735496234117647,[905£¬117]:1.9837260047892449,[905£¬307]:1.6930577018846606,[905£¬147]:1.6820195774948172,[905£¬15]:1.6799359066602957,[905£¬288]:1.6596735341729638,[905£¬628]:1.63782401728621,
[126£¬286]:3.979227731389013,[126£¬307]:2.9431022978993138,[126£¬321]:2.916037151247434,[126£¬301]:2.4031314593162554,[126£¬269]:2.3964219089767704,[126£¬898]:1.9650816595290825,[126£¬331]:1.9609192197721677,[126£¬879]:1.9556999148207173,[126£¬271]:1.946995672306326,[126£¬304]:1.946995672306326,
[405£¬135]:4.57860919975716,[405£¬161]:4.143382180818731,[405£¬258]:4.141877948585782,[405£¬177]:4.12213240138849,[405£¬739]:4.109903563564587,[405£¬470]:3.7151475132541623,[405£¬288]:3.6969092719280465,[405£¬133]:3.6954019660568704,[405£¬431]:3.6953350816529733,[405£¬294]:3.6804711297289265,
[713£¬315]:3.7346006656303934,[713£¬312]:2.794334241941417,[713£¬328]:2.7718410995029306,[713£¬258]:2.759995806881923,[713£¬303]:2.7513978832528747,[713£¬245]:2.362447604431567,[713£¬333]:2.3551238222447335,[713£¬346]:2.3532278027925306,[713£¬896]:2.2742932674677396,[713£¬288]:2.256497958303223,
[299£¬216]:4.380603445811739,[299£¬709]:3.9638547390903542,[299£¬204]:3.945266797849225,[299£¬22]:3.945266797849225,[299£¬79]:3.943356482248986,[299£¬196]:3.924383117330279,[299£¬428]:3.924383117330279,[299£¬172]:3.52851809112784,[299£¬86]:3.525828965829272,[299£¬88]:3.5223126577707813,
[285£¬50]:1.7481022047399029,[285£¬340]:1.2471569049243807,[285£¬127]:1.2097491419843658,[285£¬181]:1.1662378642847018,[285£¬1]:1.1516821527606758,[285£¬125]:0.9115391159947523,[285£¬347]:0.8965841135537278,[285£¬288]:0.8882460171278872,[285£¬323]:0.8802098321639126,[285£¬294]:0.8718717357380719,
[446£¬331]:3.9197283037745825,[446£¬258]:3.8945526774011716,[446£¬323]:3.4380941479724525,[446£¬271]:2.7430546261582736,[446£¬304]:2.3603816533534863,[446£¬259]:2.327384718098748,[446£¬305]:2.21270683744178,[446£¬325]:2.158278886599616,[446£¬358]:1.8061211061570916,[446£¬264]:1.78893617373565,
[185£¬427]:1.8427694201011224,[185£¬179]:1.8197793956075374,[185£¬527]:1.5830926651788124,[185£¬98]:1.5735397196446501,[185£¬69]:1.565813565397624,[185£¬660]:1.565813565397624,[185£¬127]:1.5601026406852274,[185£¬100]:1.5468773989476459,[185£¬435]:1.3129577489012183,[185£¬210]:1.3088704671794307,
[896£¬176]:5.13230595444336,[896£¬273]:5.13230595444336,[896£¬12]:5.13230595444336,[896£¬156]:4.631642657337839,[896£¬433]:4.631571551213621,[896£¬79]:4.629907735246969,[896£¬50]:4.627012044297653,[896£¬56]:4.62426342750309,[896£¬125]:4.615154243884513,[896£¬7]:4.615154243884513,
[524£¬288]:4.661447499953016,[524£¬181]:4.661447499953016,[524£¬616]:4.661447499953016,[524£¬357]:4.660410648960296,[524£¬99]:4.654901320621519,[524£¬28]:4.645198773979209,[524£¬566]:4.645198773979209,[524£¬188]:4.63585153115217,[524£¬651]:4.63585153115217,[524£¬177]:4.6335599353179475,
[430£¬1]:2.147117530842091,[430£¬591]:1.8185643993967364,[430£¬245]:1.8078840497068702,[430£¬15]:1.803087879398877,[430£¬289]:1.799548800611121,[430£¬282]:1.7743161317077436,[430£¬284]:1.724778773614406,[430£¬508]:1.4783880182441105,[430£¬864]:1.441474268154845,[430£¬410]:1.4356891554124336,
[656£¬313]:4.030723277768791,[656£¬310]:3.97152917606509,[656£¬328]:3.5306617147763117,[656£¬258]:3.0543720425684717,[656£¬315]:2.9950480127070205,[656£¬321]:2.9905999899089903,[656£¬333]:2.9660273535000146,[656£¬323]:2.551065940193126,[656£¬311]:2.5452208088611354,[656£¬751]:2.4980197850365107,
[388£¬288]:1.816168144163108,[388£¬245]:1.8038809407696599,[388£¬222]:1.455027098670116,[388£¬327]:1.4125789870219507,[388£¬181]:1.0938695394128084,[388£¬50]:1.0938695394128084,[388£¬539]:1.090410452877861,[388£¬271]:1.0866607300663542,[388£¬748]:1.0665432091180889,[388£¬751]:1.0593343997716347,
[745£¬318]:2.4840627232022032,[745£¬357]:2.147778519198035,[745£¬173]:2.1474876256707405,[745£¬294]:2.1398831184086586,[745£¬22]:2.1000988659008772,[745£¬133]:2.096685534994867,[745£¬482]:2.096685534994867,[745£¬23]:2.096685534994867,[745£¬197]:2.080595838474457,[745£¬195]:2.0554831106926117,
[560£¬471]:2.807936998446347,[560£¬237]:2.7877536644965537,[560£¬276]:2.500876684927939,[560£¬282]:2.4721624644041063,[560£¬117]:2.4665748256850297,[560£¬181]:2.446391491735237,[560£¬15]:2.1106439882385786,[560£¬742]:2.1097330534839713,[560£¬298]:2.092281844215165,[560£¬597]:2.081974530322602,
